offset,paintrace,annotation
1000,0.03503450006246567,
2000,0.060765136033296585,
3000,0.06984568387269974,
4000,0.07287253439426422,
5000,0.07211703062057495,
6000,0.07287253439426422,
7000,0.07287253439426422,
8000,0.07135911285877228,
9000,0.07211703062057495,
10000,0.07060118764638901,
11000,0.07211703062057495,
12000,0.06909018009901047,
13000,0.06984568387269974,
14000,0.06681884080171585,
15000,0.06681884080171585,
16000,0.06757433712482452,
17000,0.06757433712482452,
18000,0.06757433712482452,
19000,0.0683322623372078,
20000,0.06530541181564331,
21000,0.0683322623372078,
22000,0.0683322623372078,
23000,0.06454748660326004,
24000,0.06606332957744598,
25000,0.0683322623372078,
26000,0.06454748660326004,
27000,0.060765136033296585,
28000,0.05925171449780464,
29000,0.0577382892370224,
30000,0.05622486397624016,
31000,0.05622486397624016,
32000,0.054711438715457916,
33000,0.05546693876385689,
34000,0.053955934941768646,
35000,0.05168459191918373,
36000,0.0524400919675827,
37000,0.0524400919675827,
38000,0.05168459191918373,
39000,0.05092666670680046,
40000,0.05092666670680046,
41000,0.05092666670680046,
42000,0.04941081628203392,
43000,0.04865531623363495,
44000,0.04789981618523598,
45000,0.046383969485759735,
46000,0.04865531623363495,
47000,0.047141894698143005,
48000,0.046383969485759735,
49000,0.04865531623363495,
50000,0.046383969485759735,
51000,0.04487296938896179,
52000,0.045628469437360764,
53000,0.04411504417657852,
54000,0.047141894698143005,
55000,0.046383969485759735,
56000,0.04411504417657852,
57000,0.04184611886739731,
58000,0.04411504417657852,
59000,0.04335711896419525,Intubation
60000,0.04335711896419525,
61000,0.04335711896419525,
62000,0.04184611886739731,
63000,0.04335711896419525,
64000,0.039574772119522095,
65000,0.04260162264108658,
66000,0.040330275893211365,
67000,0.04487296938896179,
68000,0.039574772119522095,
69000,0.03806134685873985,
70000,0.03881927207112312,
71000,0.03881927207112312,
72000,0.03806134685873985,
73000,0.03806134685873985,
74000,0.03579242154955864,
75000,0.03806134685873985,
76000,0.0342765748500824,
77000,0.03654792159795761,
78000,0.03503450006246567,
79000,0.03579242154955864,
80000,0.03579242154955864,
81000,0.03579242154955864,
82000,0.03503450006246567,
83000,0.03503450006246567,
84000,0.0342765748500824,
85000,0.03503450006246567,
86000,0.03503450006246567,
87000,0.033521074801683426,
88000,0.031249728053808212,
89000,0.031249728053808212,
90000,0.032007649540901184,
91000,0.033521074801683426,
92000,0.031249728053808212,
93000,0.02973872423171997,
94000,0.032007649540901184,
95000,0.031249728053808212,
96000,0.04335711896419525,
97000,0.05546693876385689,
98000,0.08497992902994156,
