offset,paintrace,annotation
1000,0.067289606,
2000,0.086967684,
3000,0.096050985,
4000,0.105134293,
5000,0.105134293,
6000,0.107406326,
7000,0.1104341,
8000,0.113461867,
9000,0.115733907,
10000,0.118761674,
11000,0.120273128,
12000,0.117245361,
13000,0.115733907,
14000,0.111189827,
15000,0.11497575,
16000,0.118003517,
17000,0.120273128,
18000,0.120273128,
19000,0.124059051,
20000,0.124817207,
21000,0.129356444,
22000,0.130114585,
23000,0.127844974,
24000,0.127086818,
25000,0.124817207,
26000,0.124817207,
27000,0.127086818,
28000,0.133142352,
29000,0.133142352,
30000,0.13465625,
31000,0.13692829,
32000,0.139956057,
33000,0.138439745,
34000,0.137684017,
35000,0.13692829,
36000,0.13692829,
37000,0.139197886,
38000,0.13692829,
39000,0.143739551,
40000,0.142225653,
41000,0.143739551,
42000,0.146767318,
43000,0.147523046,
44000,0.148281187,
45000,0.14525342,
46000,0.143739551,
47000,0.141467512,
48000,0.146767318,
49000,0.147523046,
50000,0.147523046,
51000,0.150550812,
52000,0.152067125,
53000,0.153578579,
54000,0.161150426,
55000,0.159634113,
56000,0.157364488,
57000,0.154336721,
58000,0.151308954,
59000,0.151308954,
60000,0.151308954,
61000,0.157364488,
62000,0.158878386,
63000,0.158122659,
64000,0.159634113,
65000,0.164178193,
66000,0.164178193,
67000,0.161906153,
68000,0.160392284,
69000,0.159634113,
70000,0.156606346,
71000,0.161150426,
72000,0.164178193,
73000,0.164178193,
74000,0.16493392,
75000,0.169475585,
76000,0.173261493,
77000,0.174017221,
78000,0.172503352,
79000,0.169475585,
80000,0.154336721,
81000,0.155094892,
82000,0.165689647,
83000,0.180072755,
84000,0.197483629,
85000,0.2179223,
86000,0.22624743,
87000,0.23760277,
88000,0.249713838,
89000,0.251227736,
90000,0.252741635,
91000,0.241386265,
92000,0.261824906,
93000,0.283775032,
94000,0.296644241,
95000,0.299672008,
96000,0.307997167,
97000,0.316324741,
98000,0.323136002,
99000,0.326163769,
100000,0.323894173,
101000,0.319352508,
102000,0.317080468,
103000,0.311024934,
104000,0.314052701,
105000,0.313296974,
106000,0.312541246,
107000,0.310269207,
108000,0.307997167,
109000,0.3049694,
110000,0.302699775,
111000,0.298913866,
112000,0.290588707,
113000,0.28756094,
114000,0.286047071,
115000,0.286802799,
116000,0.289830565,
117000,0.292858332,
118000,0.293616474,
119000,0.295130372,
120000,0.294374645,
121000,0.296644241,
122000,0.292102605,
123000,0.286802799,
124000,0.283019304,
125000,0.286047071,
126000,0.286047071,
127000,0.290588707,
128000,0.28756094,
129000,0.291346878,
130000,0.294374645,
131000,0.293616474,
132000,0.293616474,
133000,0.292102605,
134000,0.28756094,
135000,0.285291344,
136000,0.28756094,
137000,0.292858332,
138000,0.293616474,
139000,0.293616474,Abdomen
140000,0.291346878,
141000,0.294374645,
142000,0.296644241,
143000,0.291346878,
144000,0.288319111,
145000,0.286802799,
146000,0.286047071,
147000,0.286802799,
148000,0.28756094,
149000,0.292858332,
150000,0.295130372,
151000,0.292858332,
152000,0.296644241,
153000,0.296644241,
154000,0.292858332,
155000,0.290588707,
156000,0.284533173,
157000,0.286047071,
158000,0.293616474,
159000,0.298158139,
160000,0.296644241,
161000,0.299672008,
162000,0.299672008,
163000,0.298913866,
164000,0.298913866,
165000,0.295886099,
166000,0.289830565,
167000,0.289074838,
168000,0.292858332,
169000,0.293616474,
170000,0.288319111,
171000,0.289830565,
172000,0.286802799,
173000,0.286047071,
174000,0.286047071,
175000,0.289074838,
176000,0.285291344,
177000,0.282263577,
178000,0.27923581,
179000,0.275449872,
180000,0.274691731,
181000,0.26560843,
182000,0.294374645,
183000,0.301185906,
184000,0.3049694,
185000,0.291346878,
186000,0.268636197,
187000,0.240630537,
188000,0.223977834,
189000,0.218680441,
190000,0.216408402,
191000,0.223219663,
192000,0.235330731,
193000,0.242144436,
194000,0.239116669,
195000,0.23987481,
196000,0.238358498,
197000,0.240630537,
198000,0.242144436,
199000,0.244414032,
200000,0.244414032,
201000,0.23987481,
202000,0.23760277,
203000,0.242144436,
204000,0.240630537,
205000,0.244414032,
206000,0.244414032,
207000,0.246686071,
208000,0.245172203,
209000,0.247441828,
210000,0.248958111,
211000,0.255769402,
212000,0.258041441,
213000,0.263338804,
214000,0.266366571,
215000,0.264096946,
216000,0.266366571,
217000,0.261824906,
218000,0.258041441,
219000,0.255769402,
220000,0.25728327,
221000,0.25728327,
222000,0.260311037,
223000,0.261824906,
224000,0.264852673,
225000,0.26788044,
226000,0.270908237,
227000,0.270908237,
228000,0.26560843,
229000,0.270908237,
230000,0.267124712,
231000,0.267124712,
232000,0.26788044,
233000,0.269394338,
234000,0.273936003,
235000,0.273180246,
236000,0.27696377,
237000,0.277719498,
238000,0.276208043,
239000,0.27696377,
240000,0.274691731,
241000,0.270908237,
242000,0.274691731,
243000,0.27923581,
244000,0.27696377,
245000,0.27696377,
246000,0.27923581,
247000,0.27923581,
248000,0.279991537,
249000,0.283775032,
250000,0.281505406,
251000,0.280747265,
252000,0.271663964,
253000,0.273180246,
254000,0.274691731,
255000,0.278477639,
256000,0.281505406,
257000,0.283019304,
258000,0.286047071,
259000,0.286802799,
260000,0.295886099,
261000,0.291346878,
262000,0.286802799,
263000,0.284533173,
264000,0.286802799,
265000,0.28756094,
266000,0.286802799,
267000,0.286802799,
268000,0.286802799,
269000,0.290588707,
270000,0.289074838,
271000,0.28756094,
272000,0.283775032,
273000,0.280747265,
274000,0.279991537,
275000,0.281505406,
276000,0.283775032,
277000,0.284533173,
278000,0.28756094,
279000,0.286802799,
280000,0.288319111,
281000,0.294374645,
282000,0.298913866,
283000,0.298158139,
284000,0.296644241,
285000,0.292858332,
286000,0.289830565,
287000,0.286047071,
288000,0.283019304,
289000,0.283775032,
290000,0.286802799,
291000,0.284533173,
292000,0.285291344,
293000,0.283775032,
294000,0.280747265,
295000,0.278477639,
296000,0.27696377,
297000,0.279991537,
298000,0.283019304,
299000,0.283775032,
300000,0.286047071,
