offset,paintrace,annotation
1000,-0.028280731290578842,
2000,-0.04342307150363922,
3000,-0.047965772449970245,
4000,-0.047965772449970245,
5000,-0.05099423974752426,
6000,-0.05099423974752426,
7000,-0.05250847339630127,
8000,-0.05250847339630127,
9000,-0.05250847339630127,
10000,-0.050238337367773056,
11000,-0.051750145852565765,
12000,-0.054022710770368576,
13000,-0.054022710770368576,
14000,-0.055536944419145584,
15000,-0.05326680466532707,
16000,-0.051750145852565765,
17000,-0.05477860942482948,
18000,-0.05477860942482948,
19000,-0.05326680466532707,
20000,-0.05326680466532707,
21000,-0.05250847339630127,
22000,-0.05705117806792259,
23000,-0.055536944419145584,
24000,-0.055536944419145584,
25000,-0.05629527196288109,
26000,-0.06235220655798912,
27000,-0.06007964536547661,
28000,-0.05705117806792259,
29000,-0.05250847339630127,
30000,-0.0585654117166996,
31000,-0.05629527196288109,
32000,-0.05705117806792259,
33000,-0.05629527196288109,
34000,-0.0578070767223835,
35000,-0.0585654117166996,
36000,-0.05629527196288109,
37000,-0.0585654117166996,
38000,-0.06007964536547661,
39000,-0.0585654117166996,
40000,-0.05705117806792259,
41000,-0.06007964536547661,
42000,-0.06083555147051811,
43000,-0.05705117806792259,
44000,-0.061593879014253616,
45000,-0.06007964536547661,
46000,-0.06083555147051811,
47000,-0.061593879014253616,
48000,-0.06386402249336243,
49000,-0.061593879014253616,
50000,-0.06235220655798912,
51000,-0.06310811638832092,
52000,-0.061593879014253616,
53000,-0.06235220655798912,
54000,-0.06310811638832092,
55000,-0.06235220655798912,
56000,-0.06235220655798912,
57000,-0.059323739260435104,
58000,-0.06235220655798912,
59000,-0.06083555147051811,
60000,-0.06083555147051811,
61000,-0.06083555147051811,
62000,-0.061593879014253616,
63000,-0.0585654117166996,
64000,-0.06083555147051811,
65000,-0.06235220655798912,
66000,-0.061593879014253616,
67000,-0.06386402249336243,
68000,-0.06310811638832092,
69000,-0.06310811638832092,
70000,-0.06310811638832092,
71000,-0.06235220655798912,
72000,-0.06310811638832092,
73000,-0.06083555147051811,
74000,-0.06310811638832092,
75000,-0.06235220655798912,
76000,-0.06083555147051811,
77000,-0.059323739260435104,
78000,-0.059323739260435104,
79000,-0.0578070767223835,
80000,-0.0585654117166996,
81000,-0.06007964536547661,
82000,-0.06235220655798912,
83000,-0.061593879014253616,
84000,-0.06310811638832092,
85000,-0.06235220655798912,
86000,-0.059323739260435104,
87000,-0.061593879014253616,
88000,-0.06083555147051811,
89000,-0.06083555147051811,
90000,-0.061593879014253616,
91000,-0.06083555147051811,
92000,-0.06007964536547661,
93000,-0.06007964536547661,
94000,-0.06007964536547661,
95000,-0.059323739260435104,
96000,-0.059323739260435104,
97000,-0.06007964536547661,
98000,-0.06083555147051811,
99000,-0.05705117806792259,
100000,-0.06007964536547661,
101000,-0.059323739260435104,
102000,-0.0578070767223835,
103000,-0.0578070767223835,
104000,-0.05705117806792259,
105000,-0.055536944419145584,
106000,-0.055536944419145584,
107000,-0.055536944419145584,
108000,-0.055536944419145584,
109000,-0.055536944419145584,
110000,-0.05629527196288109,
111000,-0.05477860942482948,
112000,-0.05477860942482948,
113000,-0.054022710770368576,
114000,-0.055536944419145584,
115000,-0.05477860942482948,
116000,-0.05629527196288109,
117000,-0.05326680466532707,
118000,-0.04948000609874725,
119000,-0.05099423974752426,
120000,-0.050238337367773056,
121000,-0.04872167855501175,
122000,-0.051750145852565765,
123000,-0.05250847339630127,
124000,-0.06386402249336243,
125000,-0.06007964536547661,
126000,-0.06007964536547661,
127000,-0.0585654117166996,
128000,-0.0585654117166996,
129000,-0.0578070767223835,
130000,-0.05629527196288109,
131000,-0.06007964536547661,
132000,-0.059323739260435104,
133000,-0.05705117806792259,
134000,-0.0585654117166996,
135000,-0.0578070767223835,
136000,-0.059323739260435104,
137000,-0.0578070767223835,
138000,-0.059323739260435104,
139000,-0.059323739260435104,
140000,-0.06083555147051811,
141000,-0.0585654117166996,
142000,-0.059323739260435104,
143000,-0.055536944419145584,
144000,-0.055536944419145584,
145000,-0.0578070767223835,
146000,-0.05629527196288109,
147000,-0.0578070767223835,
148000,-0.05705117806792259,
149000,-0.059323739260435104,
150000,-0.0578070767223835,
151000,-0.06462234258651733,
152000,-0.0585654117166996,
153000,-0.055536944419145584,
154000,-0.06765080988407135,A
155000,-0.06083555147051811,
156000,-0.05705117806792259,
157000,-0.05477860942482948,
158000,-0.054022710770368576,
159000,-0.05705117806792259,
160000,-0.0578070767223835,
161000,-0.055536944419145584,
162000,-0.05477860942482948,
163000,-0.05705117806792259,
164000,-0.05250847339630127,
165000,-0.05250847339630127,
166000,-0.05099423974752426,
167000,-0.05477860942482948,
168000,-0.05326680466532707,
169000,-0.05326680466532707,
170000,-0.05326680466532707,
171000,-0.054022710770368576,
172000,-0.05477860942482948,
173000,-0.054022710770368576,
174000,-0.051750145852565765,
175000,-0.05629527196288109,
176000,-0.05326680466532707,
177000,-0.05250847339630127,
178000,-0.05250847339630127,
179000,-0.05629527196288109,
180000,-0.05099423974752426,
181000,-0.05326680466532707,
182000,-0.054022710770368576,
183000,-0.05326680466532707,
184000,-0.051750145852565765,
185000,-0.054022710770368576,
186000,-0.051750145852565765,
187000,-0.05099423974752426,
188000,-0.050238337367773056,
189000,-0.05099423974752426,
190000,-0.05099423974752426,
191000,-0.05326680466532707,
192000,-0.051750145852565765,
193000,-0.05250847339630127,
194000,-0.050238337367773056,
195000,-0.051750145852565765,
196000,-0.05250847339630127,
197000,-0.050238337367773056,
198000,-0.04948000609874725,
199000,-0.05250847339630127,
200000,-0.047965772449970245,
201000,-0.050238337367773056,
202000,-0.05099423974752426,
203000,-0.04872167855501175,
